recorder_time	SPEED	TORQUE_20HZ	UI_VALUE_SET_CURRENT	Ierms	Irms_1	Irms_2	Irms_3	Urms_12	Urms_31	Urms_23	Pfact_D	Pin	PM	UI_VALUE_DCURRENT	UI_VALUE_QCURRENT	UI_VALUE_DVOLTAGE	UI_VALUE_QVOLTAGE	UI_VALUE_ANG_LOAD	UI_LINK_VOLTAGE	UI_VALUE_SET_ANGLE	UI_MAX_MOTOR_VOLTAGE	Ubat_m	Ibat_m	PFact_1	PFact_2	PFact_3	Pow1	Pow2	Pow3	Phi_ui1	Phi_ui2	Phi_ui3	Ufrms_1	Ufrms_2	Ufrms_3	UI_IGBT_Temp	Real_Time	UI_VALUE_SPEED	UI_VALUE_PLS_FRQ	
ms	rpm	Nm	A	A	A	A	A	V	V	V	-	kW	kW	A	A	V	V	?V	?V	V	-	-	-	-	kW	kW	kW	-	-	-	V	V	V	蚓	-	rpm	Hz	
23908	-999	-472.14180	625.00	605.46	604.31	608.26	603.78	78.17	77.86	78.57	0.7329	60.1047	49.3991	-508.18	723.07	-79.39	42.32	62.00	369.91	125.00	350.00	370.13	184.75	-0.7357	-0.7281	-0.7340	-19.99	-20.09	-20.02	-138.28	-136.48	-137.15	44.90	45.32	45.13	29.59	135614	998.00	6000.00	
24008	-999	-472.20290	625.00	605.36	604.37	608.08	603.62	78.22	77.91	78.58	0.7335	60.1682	49.4144	-508.74	724.33	-79.30	42.18	62.00	368.92	125.00	350.00	370.24	184.38	-0.7356	-0.7289	-0.7351	-20.00	-20.11	-20.06	-138.20	-136.57	-137.23	44.93	45.34	45.14	29.75	135614	998.00	6000.00	
24108	-999	-472.13240	625.00	605.21	604.14	607.63	603.86	78.12	77.93	78.58	0.7334	60.1292	49.4275	-508.85	723.27	-79.29	42.30	62.00	369.14	125.00	350.00	370.24	183.65	-0.7358	-0.7293	-0.7343	-19.99	-20.09	-20.05	-138.20	-136.67	-137.19	44.91	45.29	45.17	29.66	135614	998.00	6000.00	
24208	-999	-472.02450	625.00	605.41	604.04	608.11	604.08	78.13	77.89	78.61	0.7334	60.1468	49.3892	-508.24	723.24	-79.39	42.29	61.91	335.09	125.00	350.00	370.25	184.48	-0.7363	-0.7289	-0.7341	-19.99	-20.10	-20.05	-138.27	-136.58	-137.13	44.89	45.32	45.16	29.41	135614	998.00	6000.00	
24308	-999	-472.15110	625.00	605.41	604.05	608.12	604.07	78.17	77.93	78.61	0.7334	60.1647	49.4159	-508.45	724.28	-79.36	42.17	61.00	369.87	125.00	350.00	370.36	184.20	-0.7360	-0.7290	-0.7343	-20.00	-20.11	-20.06	-138.26	-136.56	-137.24	44.92	45.32	45.18	29.25	135614	998.00	6000.00	
24408	-999	-472.07610	625.00	605.31	604.12	608.47	603.33	78.20	77.82	78.60	0.7330	60.1039	49.4259	-508.76	723.12	-79.34	42.33	61.00	369.42	125.00	350.00	370.22	184.15	-0.7368	-0.7276	-0.7339	-20.01	-20.09	-20.00	-138.31	-136.37	-137.18	44.89	45.35	45.12	29.34	135614	998.00	6000.00	
24508	-999	-472.12340	625.00	605.04	603.61	607.99	603.52	78.19	77.92	78.64	0.7334	60.1416	49.4028	-508.15	723.35	-79.37	42.30	61.00	369.49	125.00	350.00	370.27	183.62	-0.7363	-0.7288	-0.7343	-19.99	-20.11	-20.04	-138.30	-136.54	-137.22	44.91	45.35	45.17	29.59	135614	998.00	6000.00	
24608	-999	-472.08200	625.00	605.29	603.93	607.64	604.28	78.09	77.96	78.65	0.7337	60.1789	49.4077	-508.37	724.34	-79.37	42.21	61.00	369.62	125.00	350.00	370.24	183.73	-0.7365	-0.7299	-0.7340	-19.99	-20.11	-20.08	-138.19	-136.68	-137.20	44.89	45.30	45.21	29.75	135614	998.00	6000.00	
24708	-999	-471.83620	78.45	605.07	603.92	607.93	603.35	78.20	77.92	78.59	0.7339	60.1763	49.3730	-508.64	723.09	-79.34	42.35	61.00	369.25	125.00	350.00	370.23	183.99	-0.7361	-0.7294	-0.7353	-20.00	-20.12	-20.06	-138.25	-136.57	-137.28	44.93	45.33	45.16	29.66	135614	998.00	6000.00	
24808	-995	-463.04170	-2.19	603.68	602.40	606.02	602.62	77.97	77.83	78.38	0.7341	59.9218	48.0962	-502.19	716.22	-78.60	42.48	61.00	370.59	125.00	350.00	370.17	183.17	-0.7373	-0.7299	-0.7344	-19.95	-20.00	-19.97	-138.36	-136.57	-137.25	44.85	45.18	45.09	29.41	135614	998.00	6000.00	
24908	-990	-438.63220	-0.02	591.34	590.17	594.01	589.82	76.28	76.11	76.62	0.7456	58.2914	45.1820	-480.09	686.24	-75.06	43.20	60.35	369.58	125.00	350.00	370.28	175.29	-0.7487	-0.7413	-0.7463	-19.41	-19.47	-19.41	-139.20	-137.47	-138.30	43.87	44.18	44.07	29.25	135615	996.71	6000.00	
25008	-985	-398.12630	0.00	560.15	559.18	563.87	557.37	72.76	72.59	73.03	0.7695	54.3470	40.6322	-441.13	633.08	-69.21	44.52	58.70	369.59	125.00	350.00	370.20	161.47	-0.7730	-0.7650	-0.7701	-18.11	-18.18	-18.05	-141.09	-139.74	-140.39	41.85	42.12	42.01	29.34	135615	993.06	6000.00	
25108	-983	-347.90820	-0.00	503.70	504.38	506.25	500.44	67.49	67.32	67.75	0.8067	47.5212	35.3634	-391.78	567.66	-61.60	45.62	54.37	369.52	125.00	350.00	370.22	140.28	-0.8096	-0.8026	-0.8076	-15.87	-15.89	-15.76	-144.39	-143.23	-143.86	38.82	39.07	38.96	29.59	135615	989.21	6000.00	
25208	-986	-301.41100	-0.00	446.44	447.08	448.46	443.76	62.04	61.90	62.28	0.8456	40.5873	30.7194	-347.23	505.27	-54.48	46.39	50.41	369.31	125.00	350.00	370.13	120.22	-0.8479	-0.8418	-0.8464	-13.55	-13.57	-13.47	-148.23	-147.29	-147.70	35.68	35.91	35.82	29.75	135615	985.51	6000.00	
25308	-988	-260.95830	0.00	398.25	398.77	399.80	396.17	57.54	57.42	57.78	0.8790	34.9166	26.6475	-306.76	450.39	-48.29	46.75	47.04	370.14	125.00	350.00	370.30	103.57	-0.8808	-0.8759	-0.8800	-11.64	-11.68	-11.60	-152.08	-151.31	-151.61	33.09	33.31	33.23	29.66	135615	984.49	6000.00	
25408	-991	-225.53450	-0.00	353.69	353.94	354.93	352.20	53.57	53.55	53.85	0.9090	29.8855	23.1053	-272.03	400.27	-42.63	47.00	43.48	369.84	125.00	350.00	370.31	88.53	-0.9107	-0.9065	-0.9096	-9.95	-9.99	-9.94	-155.92	-155.24	-155.33	30.83	31.01	30.99	29.41	135615	985.09	6000.00	
25508	-993	-195.36490	-0.00	312.93	313.64	313.48	311.66	50.34	50.26	50.37	0.9346	25.4963	20.0547	-239.69	355.22	-37.89	47.15	39.74	369.93	125.00	350.00	370.29	76.14	-0.9354	-0.9332	-0.9351	-8.52	-8.51	-8.47	-159.71	-159.21	-159.26	28.99	29.06	29.01	29.25	135615	986.64	6000.00	
25608	-995	-169.44980	0.00	278.20	278.52	278.45	277.62	47.62	47.64	47.68	0.9553	21.9384	17.4270	-212.28	315.95	-33.47	47.09	35.94	369.72	125.00	350.00	370.29	65.30	-0.9561	-0.9547	-0.9556	-7.32	-7.31	-7.30	-163.38	-162.96	-162.88	27.45	27.48	27.49	29.34	135615	988.70	6000.00	
25708	-996	-146.81200	-0.00	244.62	245.50	244.65	243.71	45.28	45.14	45.26	0.9730	18.6492	15.1170	-188.14	280.28	-29.62	47.03	33.29	369.63	125.00	350.00	370.22	55.71	-0.9733	-0.9723	-0.9739	-6.24	-6.22	-6.19	-167.07	-166.99	-167.15	26.05	26.13	26.04	29.59	135615	990.09	6000.00	
25808	-997	-127.45760	-0.00	219.64	219.08	220.13	219.70	43.32	43.56	43.53	0.9840	16.2753	13.1336	-165.75	248.30	-26.26	46.97	30.31	369.85	125.00	350.00	370.18	48.44	-0.9850	-0.9840	-0.9836	-5.41	-5.43	-5.44	-170.60	-170.41	-169.99	25.03	25.02	25.15	29.75	135615	991.84	6000.00	
25908	-998	-110.73730	0.00	194.15	194.02	195.29	193.14	41.83	41.88	42.07	0.9918	13.9867	11.4362	-147.20	220.76	-23.16	46.77	27.04	369.86	125.00	350.00	370.24	42.05	-0.9928	-0.9913	-0.9918	-4.65	-4.69	-4.65	-173.95	-173.55	-173.37	24.08	24.20	24.23	29.66	135616	993.31	6000.00	
26008	-999	-96.68970	0.00	172.47	172.70	172.79	171.91	40.61	40.63	40.70	0.9963	12.1005	9.9887	-130.11	196.32	-20.52	46.48	24.39	369.65	125.00	350.00	370.31	36.60	-0.9967	-0.9962	-0.9964	-4.04	-4.04	-4.02	-176.80	-176.82	-176.38	23.40	23.45	23.46	29.41	135616	994.86	6000.00	
26108	-999	-83.79897	-0.00	153.60	153.90	153.99	152.92	39.52	39.50	39.59	0.9980	10.5001	8.6595	-115.04	173.73	-18.12	46.26	21.79	369.75	125.00	350.00	370.22	31.40	-0.9983	-0.9982	-0.9983	-3.50	-3.51	-3.49	-64.31	-64.26	-63.99	22.76	22.82	22.80	29.25	135616	995.85	6000.00	
26208	-1000	-73.19875	0.00	133.78	133.68	134.34	133.32	38.45	38.58	38.69	0.9968	8.9118	7.5768	-102.24	154.04	-15.98	46.08	19.38	334.67	125.00	350.00	370.17	26.70	-0.9966	-0.9970	-0.9968	-2.96	-2.98	-2.97	176.64	176.37	177.01	22.17	22.24	22.31	29.34	135616	996.65	6000.00	
26308	-1001	-64.16702	0.00	118.50	118.67	118.58	118.23	38.00	37.98	37.99	0.9940	7.7511	6.6335	-90.16	137.25	-14.19	45.76	17.39	369.24	125.00	350.00	370.13	23.26	-0.9943	-0.9945	-0.9942	-2.59	-2.59	-2.58	175.35	175.00	175.47	21.90	21.91	21.90	29.59	135616	997.10	6000.00	
26408	-1001	-55.55735	-0.00	105.36	105.49	105.27	105.31	37.36	37.37	37.38	0.9893	6.7481	5.7493	-79.74	120.98	-12.50	45.61	15.69	369.74	125.00	350.00	370.15	21.16	-0.9895	-0.9896	-0.9894	-2.25	-2.25	-2.25	172.74	172.07	172.65	21.54	21.55	21.56	29.75	135616	997.99	6000.00	
26508	-1002	-49.02346	0.00	93.29	93.24	93.49	93.25	36.82	36.89	36.93	0.9835	5.8610	5.0919	-70.46	107.15	-11.04	45.44	14.05	369.86	125.00	350.00	370.32	18.19	-0.9832	-0.9841	-0.9839	-1.95	-1.96	-1.96	170.32	169.86	170.54	21.23	21.26	21.30	29.66	135616	998.35	6000.00	
26608	-1001	-43.08821	0.00	83.11	83.20	83.09	83.03	36.63	36.66	36.66	0.9798	5.1698	4.4586	-62.47	96.08	-9.78	45.05	12.65	369.82	125.00	350.00	370.28	16.22	-0.9800	-0.9802	-0.9796	-1.72	-1.72	-1.72	169.47	168.61	169.45	21.13	21.13	21.15	29.41	135616	999.01	6000.00	
26708	-1002	-37.42302	-0.00	73.30	73.38	73.00	73.50	36.21	36.20	36.14	0.9704	4.4581	3.8793	-55.53	84.46	-8.67	44.93	10.79	369.51	125.00	350.00	370.15	13.83	-0.9716	-0.9702	-0.9702	-1.49	-1.48	-1.49	166.99	166.02	166.54	20.89	20.86	20.85	29.25	135616	999.85	6000.00	
26808	-1002	-33.22810	0.00	65.90	65.51	65.89	66.28	35.98	36.15	36.02	0.9663	3.9767	3.4559	-48.87	75.30	-7.70	44.74	9.34	369.50	125.00	350.00	370.21	12.76	-0.9671	-0.9650	-0.9678	-1.32	-1.32	-1.34	165.83	164.71	166.20	20.81	20.74	20.84	29.34	135616	1000.01	6000.00	
26908	-1002	-29.25841	0.00	58.65	58.68	58.70	58.57	35.96	35.98	35.99	0.9630	3.5196	3.0288	-43.70	67.63	-6.77	44.37	8.64	369.70	125.00	350.00	370.13	11.11	-0.9631	-0.9636	-0.9631	-1.17	-1.17	-1.17	164.92	164.46	165.04	20.74	20.75	20.76	29.59	135617	1000.00	6000.00	
27008	-1002	-25.35126	-0.00	51.15	51.10	50.73	51.61	35.70	35.71	35.56	0.9510	3.0044	2.6263	-38.33	58.85	-5.97	44.30	7.34	369.78	125.00	350.00	370.16	9.76	-0.9546	-0.9487	-0.9506	-1.01	-0.99	-1.01	163.33	161.56	162.47	20.62	20.54	20.55	29.75	135617	1000.39	6000.00	
27108	-1002	-22.48820	-0.00	44.88	45.12	44.62	44.90	35.65	35.58	35.58	0.9467	2.6200	2.3449	-33.95	51.92	-5.27	44.21	6.64	369.93	125.00	350.00	370.33	8.18	-0.9487	-0.9474	-0.9448	-0.88	-0.87	-0.87	162.08	161.35	161.60	20.55	20.56	20.52	29.66	135617	1000.80	6000.00	
27208	-1003	-20.24704	0.00	40.49	40.86	40.28	40.31	35.69	35.62	35.68	0.9483	2.3713	2.1000	-29.92	47.28	-4.69	43.89	5.99	369.92	125.00	350.00	370.28	7.21	-0.9494	-0.9508	-0.9453	-0.80	-0.79	-0.78	162.26	161.96	162.00	20.56	20.61	20.57	29.41	135617	1001.00	6000.00	
27308	-1002	-17.41022	-0.00	36.09	36.11	35.86	36.31	35.58	35.54	35.40	0.9384	2.0844	1.8020	-27.08	41.44	-4.04	43.66	5.15	369.83	125.00	350.00	370.21	6.69	-0.9421	-0.9369	-0.9382	-0.70	-0.69	-0.70	160.95	159.65	160.61	20.56	20.49	20.45	29.25	135617	1001.00	6000.00	
27408	-1002	-15.25980	-0.00	31.40	31.36	31.15	31.68	35.52	35.53	35.44	0.9353	1.8056	1.5883	-23.87	36.15	-3.58	43.61	4.64	369.70	125.00	350.00	370.16	5.95	-0.9390	-0.9333	-0.9345	-0.60	-0.60	-0.61	160.52	159.00	160.18	20.51	20.47	20.47	29.34	135617	1001.00	6000.00	
27508	-1003	-13.71067	0.00	27.65	27.73	27.31	27.92	35.62	35.57	35.50	0.9347	1.5921	1.4283	-20.26	32.06	-3.25	43.51	3.99	369.68	125.00	350.00	370.08	5.57	-0.9401	-0.9331	-0.9322	-0.54	-0.52	-0.53	160.62	159.46	159.73	20.56	20.52	20.49	29.59	135617	1001.00	6000.00	
27608	-1003	-12.68833	-0.00	25.52	25.62	25.30	25.64	35.60	35.63	35.64	0.9384	1.4776	1.3154	-18.46	29.97	-2.85	43.16	3.15	369.96	125.00	350.00	370.24	5.26	-0.9408	-0.9384	-0.9353	-0.50	-0.49	-0.49	160.75	159.79	160.51	20.55	20.56	20.58	29.75	135617	1001.00	6000.00	
27708	-1002	-10.75718	-0.00	22.07	22.23	21.81	22.16	35.51	35.63	35.69	0.9310	1.2675	1.1146	-16.45	26.09	-2.49	42.94	2.99	369.85	125.00	350.00	370.32	4.51	-0.9335	-0.9316	-0.9259	-0.43	-0.42	-0.42	159.57	158.97	159.17	20.50	20.54	20.62	29.66	135617	1001.00	6000.00	
27808	-1002	-9.47961	0.00	19.89	19.94	19.68	20.06	35.48	35.56	35.54	0.9214	1.1279	0.9851	-14.74	22.77	-2.12	42.87	2.35	369.96	125.00	350.00	370.26	4.25	-0.9252	-0.9199	-0.9180	-0.38	-0.37	-0.38	158.22	157.05	157.87	20.49	20.49	20.54	29.41	135617	1001.00	6000.00	
27908	-1003	-8.55589	0.00	17.52	17.59	17.48	17.48	35.61	35.65	35.70	0.9318	1.0077	0.8960	-12.09	20.41	-1.96	42.70	1.99	369.72	125.00	350.00	370.15	3.35	-0.9318	-0.9339	-0.9293	-0.34	-0.34	-0.33	159.29	159.66	159.53	20.55	20.58	20.60	29.25	135618	1000.34	6000.00	
28008	-1003	-7.88100	0.00	16.10	16.22	15.87	16.20	35.71	35.73	35.77	0.9408	0.9374	0.8181	-10.93	19.13	-1.78	42.41	2.00	369.57	125.00	350.00	370.17	3.20	-0.9448	-0.9412	-0.9356	-0.32	-0.31	-0.31	161.67	161.09	160.94	20.61	20.63	20.65	29.34	135618	1000.79	6000.00	
28108	-1002	-6.67295	0.00	14.41	14.62	14.12	14.48	35.79	35.55	35.49	0.9222	0.8198	0.6917	-10.44	16.37	-1.43	42.28	1.91	316.24	125.00	350.00	370.12	2.80	-0.9304	-0.9233	-0.9151	-0.28	-0.27	-0.27	159.09	158.67	157.62	20.62	20.59	20.45	29.59	135618	1001.00	6000.00	
28208	-1003	-6.04118	0.00	12.44	12.67	12.22	12.43	35.82	35.65	35.65	0.9301	0.7154	0.6301	-8.50	14.59	-1.31	42.13	1.01	368.87	125.00	350.00	370.23	2.59	-0.9357	-0.9335	-0.9225	-0.24	-0.24	-0.24	160.47	160.45	158.43	20.64	20.64	20.55	29.75	135618	1000.05	6000.00	
28308	-1003	-5.80482	0.00	11.36	11.46	11.21	11.42	35.83	35.81	35.80	0.9488	0.6689	0.6037	-7.33	13.85	-1.21	41.83	1.00	369.55	125.00	350.00	370.23	2.30	-0.9525	-0.9488	-0.9445	-0.23	-0.22	-0.22	163.23	163.33	162.75	20.67	20.68	20.67	29.66	135618	1000.00	6000.00	
28408	-1002	-4.91782	0.00	10.62	10.83	10.42	10.61	35.88	35.72	35.70	0.9379	0.6173	0.5104	-7.18	12.11	-0.98	41.61	1.00	369.57	125.00	350.00	370.18	2.60	-0.9440	-0.9411	-0.9301	-0.21	-0.20	-0.20	161.77	162.53	160.35	20.68	20.68	20.58	29.41	135618	1000.95	6000.00	
28508	-1003	-4.59573	0.00	9.29	9.43	9.09	9.35	35.79	35.75	35.78	0.9335	0.5373	0.4774	-6.36	11.08	-0.83	41.37	1.00	369.83	125.00	350.00	370.16	1.97	-0.9400	-0.9354	-0.9250	-0.18	-0.18	-0.18	161.06	160.86	159.74	20.64	20.67	20.64	29.25	135618	1000.05	6000.00	
28608	-1002	-4.26709	0.00	8.67	8.80	8.53	8.68	35.89	35.85	35.86	0.9561	0.5149	0.4365	-5.38	10.43	-0.71	41.07	1.00	369.58	125.00	350.00	370.20	2.04	-0.9603	-0.9574	-0.9501	-0.18	-0.17	-0.17	164.87	165.75	164.00	20.70	20.72	20.69	29.34	135618	1000.09	6000.00	
28708	-1002	-3.55560	0.00	7.60	7.81	7.34	7.63	35.92	35.83	35.82	0.9523	0.4493	0.3699	-4.58	8.79	-0.66	40.91	0.05	369.52	125.00	350.00	370.20	2.07	-0.9609	-0.9552	-0.9416	-0.16	-0.15	-0.15	165.35	165.92	162.67	20.71	20.72	20.66	29.59	135618	1000.99	6000.00	
28808	-1003	-3.43699	0.00	6.82	6.88	6.79	6.78	35.94	35.88	35.89	0.9669	0.4099	0.3577	-3.88	8.37	-0.63	40.65	-0.00	369.70	125.00	350.00	370.28	1.74	-0.9668	-0.9692	-0.9647	-0.14	-0.14	-0.14	167.73	167.65	166.69	20.73	20.74	20.71	29.75	135618	1000.50	6000.00	
28908	-1002	-2.97370	0.00	6.44	6.55	6.37	6.41	35.95	35.93	35.96	0.9742	0.3909	0.3051	-3.45	7.60	-0.54	40.38	0.00	369.82	125.00	350.00	370.22	1.39	-0.9761	-0.9758	-0.9702	-0.13	-0.13	-0.13	168.73	170.56	168.35	20.74	20.76	20.75	29.66	135619	1001.00	6000.00	
29008	-1002	-2.68148	0.00	5.64	5.79	5.53	5.58	35.90	35.85	35.91	0.9568	0.3352	0.2815	-3.40	6.71	-0.43	40.20	-0.00	369.71	125.00	350.00	370.18	1.40	-0.9600	-0.9614	-0.9486	-0.12	-0.11	-0.11	165.08	166.89	164.10	20.70	20.74	20.71	29.41	135619	1001.00	6000.00	
29108	-1002	-2.66611	0.00	5.38	5.49	5.34	5.33	35.91	35.90	35.96	0.9656	0.3235	0.2739	-2.98	6.66	-0.39	39.91	-0.00	369.86	125.00	350.00	370.21	1.34	-0.9665	-0.9695	-0.9604	-0.11	-0.11	-0.11	166.10	168.29	166.24	20.72	20.75	20.75	29.25	135619	1001.00	6000.00	
29208	-1002	-2.10517	0.00	5.07	5.14	5.05	5.01	35.91	35.89	35.95	0.9675	0.3051	0.2151	-2.82	5.71	-0.31	39.67	0.00	369.32	125.00	350.00	370.09	1.40	-0.9686	-0.9700	-0.9634	-0.10	-0.10	-0.10	166.68	169.62	167.62	20.71	20.75	20.74	29.34	135619	1001.00	6000.00	
29308	-1002	-1.83482	0.00	4.14	4.25	4.05	4.12	35.89	35.87	35.91	0.9559	0.2461	0.1937	-2.40	4.97	-0.26	39.52	-0.00	369.69	125.00	350.00	370.18	1.27	-0.9605	-0.9610	-0.9464	-0.08	-0.08	-0.08	164.67	166.85	163.69	20.70	20.73	20.72	29.59	135619	1001.00	6000.00	
29408	-1002	-1.84050	0.00	3.81	3.90	3.74	3.79	35.95	35.93	35.98	0.9760	0.2315	0.1910	-1.96	4.90	-0.24	39.31	-0.00	369.83	125.00	350.00	370.22	1.30	-0.9784	-0.9800	-0.9692	-0.08	-0.08	-0.08	169.25	171.30	168.61	20.74	20.77	20.76	29.75	135619	1001.00	6000.00	
29508	-1002	-1.43961	0.00	3.70	3.79	3.66	3.65	35.97	35.95	36.01	0.9859	0.2272	0.1474	-1.50	4.45	-0.23	39.08	0.00	369.89	125.00	350.00	370.35	1.31	-0.9876	-0.9878	-0.9827	-0.08	-0.08	-0.07	172.86	176.87	172.30	20.75	20.78	20.78	29.66	135619	1001.00	6000.00	
29608	-1002	-1.06269	0.00	2.91	3.07	2.83	2.84	35.95	35.88	35.95	0.9681	0.1756	0.1107	-1.45	3.40	-0.18	39.01	-0.00	369.88	125.00	350.00	370.22	0.63	-0.9722	-0.9768	-0.9571	-0.06	-0.06	-0.06	167.17	173.56	166.26	20.72	20.77	20.73	29.41	135619	1001.00	6000.00	
29708	-1002	-0.99552	0.00	2.50	2.58	2.42	2.51	35.94	35.93	35.97	0.9732	0.1517	0.1046	-1.27	3.19	-0.16	38.84	0.00	369.61	125.00	350.00	370.18	0.77	-0.9788	-0.9762	-0.9654	-0.05	-0.05	-0.05	169.69	173.03	168.02	20.74	20.77	20.76	29.25	135619	1001.00	6000.00	
29808	-1002	-1.01684	0.00	2.37	2.40	2.35	2.36	35.95	35.96	36.01	0.9782	0.1443	0.1064	-1.17	3.14	-0.15	38.67	0.00	369.27	125.00	350.00	370.15	0.82	-0.9829	-0.9784	-0.9743	-0.05	-0.05	-0.05	171.67	175.21	171.33	20.74	20.78	20.78	29.34	135619	1001.00	6000.00	
29908	-1002	-0.93026	0.00	2.34	2.39	2.27	2.35	35.97	35.96	36.00	0.9825	0.1431	0.0974	-0.94	3.07	-0.16	38.47	-0.00	369.34	125.00	350.00	370.21	0.97	-0.9897	-0.9819	-0.9769	-0.05	-0.05	-0.05	175.38	177.92	173.19	20.75	20.78	20.78	29.59	135620	1001.00	6000.00	
30008	-1002	-0.60158	0.00	2.18	2.24	2.13	2.16	35.97	35.93	35.99	0.9697	0.1317	0.0586	-0.89	2.59	-0.11	38.33	0.00	369.90	125.00	350.00	370.25	0.82	-0.9770	-0.9734	-0.9600	-0.05	-0.04	-0.04	172.74	178.40	171.90	20.74	20.78	20.76	29.75	135620	1000.35	6000.00	
30108	-1002	-0.38908	0.00	1.54	1.58	1.57	1.47	35.90	35.89	35.96	0.9325	0.0893	0.0398	-0.87	1.79	-0.11	38.29	-0.00	316.42	125.00	350.00	370.26	0.52	-0.9335	-0.9470	-0.9185	-0.03	-0.03	-0.03	160.23	170.75	164.99	20.71	20.75	20.75	29.66	135620	999.99	6000.00	
30208	-1002	-0.38951	0.00	1.37	1.39	1.34	1.38	35.91	35.92	35.97	0.9339	0.0795	0.0386	-0.76	1.61	-0.08	38.22	-0.00	368.98	125.00	350.00	370.22	0.55	-0.9440	-0.9383	-0.9204	-0.03	-0.03	-0.03	163.84	167.35	162.35	20.72	20.75	20.76	29.41	135620	1000.00	6000.00	
30308	-1002	-0.36720	0.00	1.31	1.29	1.35	1.28	35.93	35.94	35.99	0.9576	0.0779	0.0411	-0.63	1.62	-0.08	38.13	0.00	369.45	125.00	350.00	370.16	0.50	-0.9582	-0.9609	-0.9549	-0.03	-0.03	-0.03	167.67	173.78	171.74	20.73	20.77	20.77	29.25	135620	1000.00	6000.00	
30408	-1002	-0.39425	0.00	1.32	1.38	1.26	1.31	35.94	35.93	35.98	0.9585	0.0788	0.0407	-0.64	1.66	-0.05	38.00	-0.00	369.42	125.00	350.00	370.16	0.87	-0.9651	-0.9713	-0.9431	-0.03	-0.03	-0.03	171.06	177.07	168.86	20.73	20.77	20.76	29.34	135620	1000.00	6000.00	
30508	-1002	-0.39170	0.00	1.30	1.33	1.28	1.29	35.95	35.94	35.99	0.9636	0.0780	0.0401	-0.45	1.64	-0.06	37.85	0.00	369.89	125.00	350.00	370.15	0.79	-0.9734	-0.9662	-0.9520	-0.03	-0.03	-0.03	174.23	119.67	172.57	20.74	20.77	20.77	29.59	135620	1000.00	6000.00	
30608	-1002	-0.29288	0.00	1.27	1.26	1.29	1.27	35.93	35.95	36.00	0.9621	0.0763	0.0310	-0.35	1.64	-0.06	37.76	0.00	370.12	125.00	350.00	370.27	0.54	-0.9681	-0.9701	-0.9496	-0.03	-0.03	-0.03	173.41	30.30	177.02	20.73	20.76	20.78	29.75	135620	1000.00	6000.00	
30708	-1002	-0.08473	0.00	1.12	1.16	1.08	1.13	35.95	35.93	35.98	0.9312	0.0652	0.0081	-0.38	1.33	-0.03	37.68	-0.00	369.97	125.00	350.00	370.25	0.55	-0.9502	-0.9296	-0.9157	-0.02	-0.02	-0.02	175.24	-166.16	173.06	20.74	20.77	20.76	29.66	135620	1000.00	6000.00	
30808	-1002	0.04078	0.00	0.80	0.89	0.70	0.78	35.94	35.91	35.96	0.8473	0.0423	-0.0092	-0.36	0.79	-0.02	37.66	-0.09	369.95	125.00	350.00	370.20	0.47	-0.9124	-0.8412	-0.7927	-0.02	-0.01	-0.01	172.01	-32.30	158.61	20.73	20.77	20.75	29.41	135620	1000.00	6000.00	
30908	-1002	0.12101	0.00	0.56	0.63	0.48	0.55	35.93	35.91	35.96	0.7729	0.0270	-0.0104	-0.25	0.66	-0.03	37.60	-0.99	369.76	125.00	350.00	370.15	0.43	-0.8756	-0.7064	-0.7277	-0.01	-0.01	-0.01	112.87	178.39	152.31	20.73	20.76	20.75	29.25	135621	1000.00	6000.00	
31008	-1002	0.14587	0.00	0.55	0.65	0.48	0.51	35.95	35.91	35.99	0.7699	0.0265	-0.0135	-0.30	0.70	-0.02	37.58	-0.35	369.59	125.00	350.00	370.12	0.51	-0.8860	-0.7300	-0.6836	-0.01	-0.01	-0.01	21.73	-149.53	153.45	20.73	20.78	20.76	29.34	135621	1000.00	6000.00	
31108	-1002	0.15388	0.00	0.51	0.59	0.42	0.52	35.95	35.92	35.96	0.7867	0.0251	-0.0134	-0.16	0.65	-0.02	37.51	0.01	369.83	125.00	350.00	370.24	0.69	-0.8532	-0.7604	-0.7556	-0.01	-0.01	-0.01	12.18	-172.53	163.03	20.73	20.76	20.75	29.59	135621	1000.00	6000.00	
31208	-1002	0.12210	0.00	0.53	0.55	0.51	0.53	35.93	35.94	35.98	0.7760	0.0256	-0.0111	-0.17	0.62	-0.03	37.44	0.00	369.96	125.00	350.00	370.31	0.69	-0.8274	-0.7491	-0.7520	-0.01	-0.01	-0.01	-3.34	-0.63	28.40	20.73	20.76	20.77	29.75	135621	1000.00	6000.00	
31308	-1002	0.13833	0.00	0.54	0.62	0.47	0.51	35.94	35.91	35.98	0.7596	0.0255	-0.0128	-0.15	0.63	-0.02	37.38	-0.00	369.85	125.00	350.00	370.29	0.54	-0.8689	-0.7429	-0.6583	-0.01	-0.01	-0.01	60.87	-157.22	154.58	20.73	20.77	20.76	29.66	135621	1000.00	6000.00	
31408	-1001	0.11121	0.00	0.54	0.55	0.48	0.57	35.94	35.93	35.98	0.7651	0.0257	-0.0114	-0.13	0.68	-0.02	37.31	-0.65	369.78	125.00	350.00	370.20	0.61	-0.8700	-0.7223	-0.7080	-0.01	-0.01	-0.01	-165.51	-175.44	160.65	20.73	20.76	20.76	29.41	135621	1000.00	6000.00	
